Actual,Predicted
0,8.31676
3,7.33977
6,5.6383786
9,20.159363
4,12.760149
10,3.5700274
5,11.19278
8,15.5391445
17,10.374826
19,15.248865
0,4.2184887
1,1.8572752
16,9.950116
6,7.381688
0,6.870034
2,9.347374
11,11.121603
8,6.6762934
26,7.8858705
29,26.091824
8,2.4746463
0,5.567499
0,7.665168
3,11.842847
1,2.0422947
0,3.497523
4,13.092737
1,5.7189584
0,4.670642
10,11.610732
0,2.3186157
1,8.107033
1,3.4398925
0,2.99831
0,1.3598939
2,13.021621
0,3.5995607
5,6.12882
0,5.352501
0,4.67483
2,-1.1408877
0,4.740172
0,-1.3453566
12,6.557272
2,0.5805502
0,0.64140457
1,4.5695963
2,2.4988682
2,8.967727
12,3.2413542
1,2.97785
7,5.495246
8,6.8542924
21,19.408758
5,5.617477
10,4.671535
0,2.9790885
0,4.2387815
1,8.711182
3,1.9238174
4,4.773177
3,0.3317325
2,4.8303113
4,4.0922327
2,6.233695
0,3.378627
4,11.30531
1,3.0237958
1,6.0576844
0,3.1333394
2,6.878598
0,6.868135
1,4.4364243
2,6.7080274
17,9.225587
20,5.339803
1,6.1368685
6,9.761851
4,5.98477
23,6.2492332
11,15.00631
3,3.0426002
7,4.7069907
2,4.60429
1,3.5239038
16,6.530441
4,1.9422833
15,17.871254
3,7.1316476
10,6.4851255
2,14.023676
2,5.1135044
1,3.8446522
3,2.3640468
1,5.6952677
1,5.2613096
10,6.8439693
2,11.313824
0,6.096739
21,7.306068
1,1.9483923
11,7.7404847
27,13.425716
12,6.991112
3,2.459743
3,11.5538225
0,4.136401
3,7.9263997
7,3.594875
7,3.1319985
4,10.245003
4,16.451553
2,3.2851648
15,6.9953976
6,11.660845
10,9.005992
7,9.582114
14,3.1915164
15,7.7724905
31,16.028017
1,-6.868224
1,10.297351
1,7.2774816
10,10.002093
4,7.0560265
27,14.245123
13,15.266767
3,5.171081
5,6.9858255
8,11.693049
0,1.2761478
3,16.010843
4,6.682494
5,8.115222
16,5.079512
16,2.9805968
3,9.668169
2,7.135035
6,6.5310082
5,7.9392548
2,6.985366
0,7.3748055
62,7.770099
1,9.432729
5,8.314483
5,17.346487
4,5.654122
