Actual,Predicted
0,6.193333
3,5.903333
6,8.91
9,24.47
4,7.786667
10,5.55
5,8.48
8,7.883333
17,9.03
19,15.45
0,2.28
1,7.9666667
16,4.77
6,5.7533336
0,12.986667
2,6.7466664
11,8.78
8,7.4933333
26,14.36
29,12.3
8,9.463333
0,4.39
0,6.6966667
3,4.09
1,3.37
0,5.056667
4,6.9933333
1,8.373333
0,6.1766667
10,21.046667
0,2.13
1,3.6266668
1,3.0866666
0,3.1
0,1.46
2,11.456667
0,5.98
5,20.686666
0,3.3433332
0,6.133333
2,2.7966666
0,2.5466666
0,5.286667
12,11.863334
2,5.07
0,2.03
1,5.49
2,5.0066667
2,11.7
12,4.883333
1,2.32
7,6.2966666
8,6.7366667
21,18.696667
5,4.6666665
10,4.1766667
0,4.9366665
0,7.2033334
1,17.593334
3,2.1233332
4,7.3966665
3,5.0133333
2,4.5533333
4,3.7366667
2,4.733333
0,4.28
4,7.0433335
1,12.45
1,7.213333
0,5.516667
2,3.7666667
0,1.2566667
1,16.63
2,8.193334
17,13.16
20,3.4766667
1,5.0233335
6,6.6966667
4,5.1466665
23,5.0866666
11,12.286667
3,5.403333
7,6.3566666
2,4.16
1,4.4133334
16,8.51
4,4.88
15,4.65
3,4.0066667
10,9.476666
2,7.98
2,6.2566667
1,2.7433333
3,3.6066666
1,3.27
1,4.943333
10,4.1466665
2,6.363333
0,3.4833333
21,12.163333
1,1.8633333
11,9.0
27,9.9
12,15.62
3,14.106667
3,5.6666665
0,2.6766667
3,6.34
7,5.096667
7,5.5233335
4,9.06
4,7.13
2,7.2966666
15,9.443334
6,6.4133334
10,10.696667
7,8.716666
14,3.14
15,10.17
31,21.666666
1,12.643333
1,11.203333
1,5.9966664
10,5.32
4,6.633333
27,6.96
13,21.82
3,6.6033335
5,2.4366667
8,6.2533336
0,3.6266668
3,13.556666
4,4.93
5,9.056666
16,5.943333
16,1.5066667
3,6.0
2,3.8333333
6,3.9033334
5,4.29
2,5.7566667
0,5.06
62,8.18
1,3.42
5,4.076667
5,8.85
4,5.77
1,6.7266665
5,4.47
7,6.99
0,12.123333
11,5.55
2,5.1266665
2,4.38
10,7.19
0,5.7733335
11,6.056667
1,5.636667
5,6.5733333
1,4.13
6,4.463333
4,11.043333
9,7.4966664
13,8.05
1,6.1066666
3,5.5466666
16,13.326667
7,6.46
19,11.946667
10,8.046667
7,4.1633334
4,6.58
4,10.36
27,4.53
10,4.0433335
12,9.533334
3,4.7366667
5,7.8533335
3,7.45
3,3.9533334
9,6.9066668
15,4.03
0,3.7766666
7,3.53
1,6.213333
5,4.27
2,6.11
17,6.0933332
11,2.93
5,9.156667
19,8.026667
13,6.38
6,5.71
9,7.7933335
1,5.38
19,9.75
5,5.0733333
1,5.63
10,6.363333
21,8.58
0,4.7
18,6.56
3,5.3966665
5,5.6233335
5,8.53
0,4.5833335
28,11.416667
31,6.99
7,4.88
4,3.42
28,21.513334
0,3.7166667
9,5.9466667
7,8.826667
8,6.576667
1,10.356667
4,7.75
0,3.2333333
5,4.386667
5,6.8966665
5,3.9566667
1,3.6166666
0,4.9866667
5,3.7533333
0,7.173333
10,4.9966664
1,2.1433334
4,8.61
3,4.0733333
7,6.9133334
16,4.0233335
5,8.993333
17,9.736667
2,8.156667
1,5.41
6,4.83
3,2.7
3,10.586667
41,9.34
19,5.8966665
1,3.39
12,5.5866666
8,6.6066666
1,8.073334
9,3.4966667
2,8.58
9,5.0
8,7.7533336
7,4.9933333
13,21.773333
5,4.92
2,6.923333
29,4.1433334
13,5.113333
48,2.8633332
0,5.133333
7,4.92
3,4.4866667
0,4.516667
6,3.59
13,5.6233335
3,2.8566666
0,4.636667
0,0.75333333
26,19.323334
15,6.9166665
1,3.1033332
3,5.47
7,5.34
9,5.056667
33,8.153334
9,2.58
2,4.806667
17,15.0
9,5.25
6,8.613334
10,3.8033333
6,3.9533334
