Actual,Predicted
0,3.7463987
3,2.1762588
6,5.445276
9,19.0404
4,6.2269416
10,1.9933888
5,0.83039546
8,10.177129
17,1.3959658
19,3.9362314
0,4.642557
1,12.442324
16,4.4622364
6,2.3699524
0,1.9516808
2,1.8474568
11,11.0
8,7.406463
26,9.695128
29,16.838322
8,1.9013225
0,19.57034
0,7.719764
3,6.564586
1,6.726042
0,16.2148
4,5.0450883
1,5.3948913
0,6.438938
10,6.187726
0,2.3802633
1,5.5784993
1,13.948746
0,3.7848513
0,1.9949585
2,10.418762
0,2.5259998
5,13.65893
0,0.4008086
0,4.538308
2,5.225814
0,2.4803257
0,2.0796547
12,2.9849522
2,0.39655825
0,0.0
1,7.406631
2,1.2429756
2,8.38988
12,1.3837814
1,8.597125
7,7.0
8,6.02875
21,21.0
5,0.5912861
10,1.1642878
0,12.73416
0,3.4332929
1,7.4313674
3,0.98679924
4,2.3718405
3,1.9844097
2,4.117114
4,18.467522
2,10.275175
0,6.356673
4,13.84254
1,7.9121423
1,3.7854612
0,6.469419
2,9.492578
0,0.0
1,2.9527824
2,2.1703856
17,17.0
20,2.5581532
1,1.0308466
6,2.1842062
4,9.943941
23,4.51174
11,14.894093
3,3.7334034
7,7.0
2,6.5395417
1,6.5175805
16,2.4365761
4,1.9866437
15,5.875615
3,3.0
10,15.206022
2,3.8492372
2,5.180901
1,1.0
3,3.0
1,2.728949
1,1.8795533
10,1.8019136
2,4.9872465
0,6.4687753
21,6.8441067
1,1.0
11,12.553876
27,5.431852
12,8.648109
3,5.1814413
3,11.11612
0,3.1268756
3,9.018419
7,0.7701735
7,1.2637985
4,3.6340897
4,4.523332
2,1.9571627
15,3.80584
6,6.0
10,10.0
7,12.384815
14,7.6223273
15,4.483462
31,7.7374477
1,7.348199
1,14.597861
1,4.809378
10,10.228092
4,5.734912
27,4.5172787
13,18.885935
3,4.2616186
5,0.0
8,8.243614
0,4.771735
3,3.491013
4,3.3183482
5,5.1450815
16,5.3787413
16,4.5019393
3,8.729178
2,4.4914174
6,8.746276
5,2.9786558
2,2.8203835
0,8.40894
62,10.082542
1,15.15273
5,9.172179
5,16.894665
4,1.3588609
1,5.1382794
5,5.0
7,4.6072288
0,2.7596655
11,4.5853734
2,1.6158823
2,12.549003
10,8.70814
0,16.642807
11,2.1923554
1,10.54358
5,3.312611
1,3.039477
6,4.0309296
4,9.361299
9,0.21449234
13,6.494995
1,7.8321023
3,1.6436628
16,16.0
7,1.415461
19,3.8765879
10,10.0
7,8.523329
4,7.0595107
4,0.838274
27,2.7299836
10,6.655767
12,0.40782952
3,1.1998723
5,7.6107574
3,1.7365701
3,4.2483215
9,8.305903
15,1.834343
0,1.5917261
7,0.5956743
1,3.0708706
5,6.007152
2,3.6044605
17,4.922388
11,1.9620644
5,24.055586
19,0.5834913
13,1.0179733
6,0.6147981
9,2.2545836
1,2.4053416
19,5.851852
5,0.8095599
1,2.5221395
10,1.1823165
21,4.547982
0,0.20200369
18,8.012889
3,5.204555
5,3.9696681
5,8.750315
0,1.0072806
28,4.7718983
31,13.570764
7,3.803347
4,8.96542
28,7.11662
0,4.9655766
9,0.7909082
7,9.506357
8,4.011378
1,18.696249
4,1.2240841
0,1.0067908
5,8.782227
5,7.032123
5,3.988526
1,10.704548
0,1.6043009
5,7.6413093
0,4.0447254
10,2.7109456
1,1.0
4,3.148409
3,15.477228
7,7.0
16,1.000147
5,4.4521847
17,6.5784707
2,2.0006938
1,9.013896
6,10.610138
3,3.4159453
3,9.142757
41,11.980313
19,4.8768487
1,1.0
12,0.7871697
8,1.2009132
1,0.39270198
9,8.605265
2,2.8470998
9,2.1739311
8,8.0
7,8.465997
13,13.890895
5,1.2329663
2,1.57174
29,6.370659
13,12.649833
48,8.426803
0,4.3837337
7,17.112299
3,0.9887644
0,1.4028085
6,3.0590622
13,26.881357
3,10.688699
0,16.61768
0,0.0
26,7.4302225
15,0.8173027
1,7.5079923
3,4.076065
7,21.85545
9,9.089326
33,5.258204
9,0.202558
2,2.0837464
17,7.8060865
9,1.8685062
6,2.2983284
10,7.0582094
6,4.947358
3,1.6335343
0,2.0369017
18,5.0580835
5,5.0
22,7.0572295
0,2.9069104
2,2.8190842
8,18.915686
5,1.3798847
2,5.9748306
8,1.6000457
2,5.820682
1,23.457912
4,0.7914122
1,0.7830788
50,2.9237237
6,5.459881
34,1.8210125
4,5.005897
5,2.9637969
12,1.6146197
21,4.6810665
3,6.723441
0,0.2065257
2,4.977468
8,3.3218174
0,1.3958184
1,15.008302
3,6.190948
0,3.128626
0,1.7730644
0,1.8672898
1,0.60031676
7,2.5833836
0,2.0138366
9,15.762698
0,1.592072
2,3.899121
3,3.0
0,1.1819512
4,4.0157247
1,6.1921635
0,0.0
0,0.39348403
6,1.3741125
0,3.029321
0,0.0
0,24.147234
7,9.564969
3,2.24261
2,4.2724223
4,6.5541034
4,6.76517
9,15.969128
4,1.2022209
3,5.9439826
5,3.0153635
11,11.0
8,3.9187913
1,1.651113
12,9.54079
0,3.28073
6,4.442387
1,2.1656055
12,9.505738
10,1.0283269
15,8.086221
0,5.751791
14,4.172444
6,6.2593727
7,5.2300606
3,2.1720138
20,5.3635902
5,6.9197764
5,2.787369
24,4.190829
7,4.939349
4,9.205771
2,2.0
6,14.336503
11,5.6059165
2,2.119703
7,8.320998
11,4.534848
3,11.834
18,6.8192916
13,8.382181
1,2.5941575
2,2.6924376
3,15.038912
16,6.0667796
2,4.336122
6,6.7145987
15,15.0
14,16.887968
11,3.9646955
4,8.395905
1,8.217976
0,5.8012304
6,1.8515607
5,6.77496
4,3.2821608
3,9.250746
2,1.8621187
0,2.1625907
6,4.79697
3,0.9817242
5,1.4071224
1,2.177417
2,4.963788
7,8.340835
1,2.0022328
7,9.632455
0,1.1144536
0,7.580895
19,14.993696
9,0.9822581
1,0.9958967
7,2.1293004
1,0.7572008
16,1.4494599
5,6.1886
9,13.690637
2,3.7797968
7,7.0
55,9.461059
17,4.8608565
14,1.8035171
4,1.5704974
8,18.525906
39,39.0
10,14.445093
4,12.1393385
12,6.190305
7,7.0
6,3.7947972
15,28.041613
13,1.5864584
11,5.210315
13,3.009412
8,10.823298
9,14.422962
5,1.6877431
21,3.2813756
5,2.7345295
5,10.717342
12,13.849957
17,1.1976604
4,7.41596
19,2.5774498
3,18.413263
12,1.9936801
1,9.93753
5,1.7380686
1,4.787218
4,5.0397325
9,0.60329217
18,18.0
3,7.9900546
9,3.6977198
0,4.4641895
15,0.9939805
10,3.008209
17,5.274731
10,5.548371
2,1.2135046
0,4.1240325
1,1.9932536
1,5.470198
1,1.4444054
2,1.5806789
4,17.994207
9,6.154834
6,1.9226066
1,9.191003
2,1.9765317
9,3.6381607
3,1.660744
1,6.593462
5,2.7364342
2,3.2608972
9,4.8250327
1,4.546314
1,1.0
0,16.947886
0,12.735356
2,3.9051363
4,4.401176
9,9.081144
4,4.865423
26,11.039534
14,2.4491606
0,0.0
0,2.7811902
7,0.4083369
16,15.354588
2,0.19816193
2,1.2312685
1,2.6418276
1,6.1026025
18,4.6070766
5,3.48398
7,12.488251
33,5.433593
0,0.98852855
0,2.7391794
1,5.15
0,3.4869137
0,4.329772
3,2.2839622
6,3.0503066
1,2.2970371
0,0.40506712
4,4.0
0,8.905388
5,0.19986975
8,4.3409934
0,0.18814369
0,3.0624576
1,1.0
1,16.008879
1,1.0064735
6,3.24618
0,0.0
1,3.6247349
14,0.8226869
6,13.786408
2,3.2052345
1,4.9760303
0,3.0510356
0,0.0
6,9.836182
3,6.287047
10,6.204483
1,2.9271119
5,5.6148124
4,8.407682
5,5.0
3,7.4702
2,3.1647828
3,2.2449596
35,2.4790282
0,0.97247374
12,1.3146414
7,5.3371534
1,0.93963444
3,2.0284908
31,2.100589
0,1.5079372
34,4.1035132
3,0.9896064
20,0.3968583
1,2.8035245
8,3.5060031
0,0.0
3,2.8788345
9,4.4111304
10,2.7716358
2,1.9998428
1,4.5841317
2,5.5161
3,4.9769526
0,0.0
2,5.868821
2,9.751485
3,5.0545406
9,3.3785932
4,3.5495782
8,8.0
14,5.7375565
8,4.893693
7,17.166803
9,7.298153
3,8.629659
0,1.211415
5,4.3909435
0,0.99667436
1,3.3853707
3,6.178491
0,9.360508
0,8.290381
10,6.4194207
1,11.313515
11,2.71145
6,3.2186744
3,1.0357445
1,3.2385497
3,2.7821624
5,5.37321
5,5.4475307
3,11.870092
5,3.5559926
18,3.094269
5,2.1616461
1,4.163867
1,8.781391
4,2.5431702
14,14.0
1,10.782595
0,13.236639
2,6.6429305
41,4.7709055
12,11.766209
20,3.0119412
1,4.8032446
8,1.9724215
2,8.284292
2,0.5797514
7,5.582754
3,6.4712276
1,9.985682
5,1.3655369
11,32.35252
0,0.0
8,4.02947
0,1.1856399
6,2.6868877
4,1.9569856
7,11.338158
4,5.5505495
1,0.9746202
10,0.8261428
4,4.0
8,4.3886843
4,3.5202205
1,3.5609539
10,9.266978
9,8.696899
13,0.61498797
3,6.5099044
0,10.8305025
14,4.446146
24,11.235153
3,15.548055
34,16.351229
8,1.3397297
3,1.9982293
4,0.39301085
13,4.573278
12,5.277095
3,13.060369
20,6.614525
1,9.697056
5,0.40717477
9,1.3904407
3,3.2178068
5,4.8570776
4,3.2248883
14,5.567014
5,4.257097
11,4.497375
7,8.53043
5,6.349117
0,0.0
0,4.704388
5,3.421771
12,2.4326603
23,29.268791
0,5.6698775
11,2.1798263
6,1.0158253
2,1.3578756
0,1.1834879
48,3.7483802
13,0.61984456
3,13.292138
2,2.571671
0,2.229946
10,9.885383
7,4.7548776
18,1.9982531
4,6.739621
16,1.64183
4,8.448809
