Actual,Predicted
0,2.2587037
3,3.0079153
6,7.901872
9,22.737217
4,5.912492
10,5.263222
5,9.9795
8,22.954784
17,17.647533
19,24.74553
0,4.806748
1,1.7919463
16,9.100565
6,11.033739
0,3.6063523
2,17.958708
11,8.821683
8,8.636901
26,12.865895
29,34.855453
8,3.1664295
0,3.4855862
0,5.7310653
3,5.3954043
1,4.9630647
0,6.1317215
4,16.020908
1,4.8888955
0,2.8654208
10,14.882455
0,1.3511147
1,4.910655
1,0.44552532
0,0.7524802
0,2.9707365
2,7.6725826
0,0.9680836
5,13.369235
0,3.8162694
0,8.901801
2,0.7293715
0,3.6180935
0,4.4572315
12,4.503417
2,0.18940958
0,0.8848281
1,6.0910873
2,2.8369436
2,9.699597
12,3.5885494
1,2.8619916
7,5.6091566
8,11.12248
21,16.675934
5,4.505614
10,4.067386
0,3.0566244
0,7.1814475
1,13.593778
3,1.1239698
4,3.3242881
3,2.0559006
2,7.0216312
4,6.993685
2,8.792585
0,10.193924
4,12.742007
1,2.309897
1,7.0888734
0,5.4461055
2,8.79573
0,5.694895
1,8.672927
2,13.103643
17,12.155739
20,3.1085515
1,2.6014452
6,15.105782
4,4.452048
23,7.847406
11,12.7000065
3,8.546323
7,6.2922535
2,5.877591
1,4.7579303
16,7.4308023
4,-1.4020358
15,16.44926
3,9.128668
10,9.074974
2,13.836852
2,7.5013814
1,6.9264216
3,3.5760815
1,5.4293118
1,3.299297
10,3.8495073
2,12.579452
0,3.9110055
21,8.210826
1,1.11773
11,14.19421
27,9.2558365
12,15.572267
3,-0.46629372
3,4.6075435
0,4.1001167
3,9.834051
7,10.265988
7,2.8632634
4,3.6484382
4,10.602388
2,0.49314556
15,6.8614736
6,8.960907
10,9.942212
7,13.354835
14,5.1274214
15,7.743398
31,17.794306
1,0.64903086
1,11.697329
1,8.192677
10,7.4677844
4,2.8867714
27,12.720714
13,19.094206
3,6.037501
5,8.375522
8,13.842648
0,-3.372048
3,7.1563187
4,3.9854653
5,7.0885572
16,6.2263494
16,6.92199
3,5.1655374
2,10.999809
6,5.619787
5,6.321412
2,6.1723475
0,4.140623
62,-2.0167663
1,4.576249
5,6.1666636
5,17.713478
4,11.226988
1,5.6245885
5,5.60499
7,7.165629
0,10.345214
11,7.5128746
2,11.941005
2,4.088982
10,6.7835913
0,1.9744843
11,5.2305627
1,2.228589
5,3.3354409
1,-7.229917
6,6.2191224
4,11.954597
9,2.3716786
13,6.4070883
1,0.18785141
3,6.7453
16,10.880934
7,7.579825
19,8.011598
10,6.913513
7,11.413282
4,0.985428
4,-0.07542187
27,5.1423917
10,1.353614
12,17.400091
3,11.1071005
5,8.711669
3,5.932331
3,4.868708
9,11.399699
15,0.64041084
0,5.127974
7,3.3650813
1,12.628356
5,6.1366906
2,4.4893527
17,6.375147
11,6.8046784
5,17.038507
