Actual,Predicted
0,6.74324
3,4.744708
6,8.540342
9,32.35831
4,9.342882
10,5.0920105
5,12.029849
8,22.30892
17,16.379873
19,12.58351
0,2.8408823
1,5.1878242
16,16.79997
6,11.15544
0,5.567831
2,4.5991926
11,8.911691
8,6.38005
26,7.1118836
29,36.8754
8,2.552901
0,4.289713
0,7.323899
3,5.4261193
1,2.7804496
0,6.150729
4,7.743091
1,2.5463297
0,1.5828983
10,19.269117
0,3.2125154
1,8.644102
1,3.0547838
0,1.1540437
0,2.8431726
2,6.14265
0,3.010714
5,20.236937
0,5.3684993
0,4.0767508
2,0.0722938
0,3.0344257
0,5.4588265
12,8.992809
2,1.6626813
0,2.2423744
1,5.2626495
2,7.2318196
2,5.790035
12,1.5098554
1,6.1092496
7,6.6680703
8,10.025179
21,19.577316
5,3.8457358
10,4.8245125
0,2.707057
0,6.9663615
1,21.356697
3,3.6079807
4,4.982009
3,2.938936
2,5.9273195
4,5.1586347
2,9.314264
0,5.890858
4,10.943201
1,3.5668895
1,8.638973
0,9.060426
2,4.0291696
0,2.3334055
1,5.668279
2,7.975287
17,12.967452
20,2.9759288
1,4.509823
6,13.659654
4,3.8515692
23,6.104467
11,13.252571
3,2.559802
7,5.4882703
2,3.8358817
1,0.16703579
16,13.095594
4,3.2586124
15,10.749319
3,4.5169744
10,5.930397
2,7.042655
2,4.452766
1,2.1038258
3,2.6716902
1,5.567864
1,2.9563055
10,5.222425
2,3.7727714
0,7.279321
21,8.716556
1,2.3631046
11,6.852151
27,8.342663
12,8.115676
3,-0.7487194
3,5.041119
0,2.1604064
3,6.4396367
7,7.8400445
7,2.4308407
4,6.3831334
4,12.919182
2,2.2927563
15,4.639064
6,7.720721
10,9.40717
7,14.6906185
14,4.7666473
15,6.860079
31,22.303675
1,4.6608977
1,5.0424743
1,8.233039
10,6.0247903
4,2.2294576
27,8.479733
13,27.450794
3,6.130572
5,3.4146352
8,12.812068
0,-0.26637748
3,7.604204
4,5.7543616
5,4.8067913
16,4.852805
16,4.663245
3,10.447952
2,9.407085
6,4.138537
5,2.9239712
2,8.02389
0,4.503306
62,3.620439
1,4.220701
5,6.615942
5,8.601156
4,6.736278
1,6.333288
5,4.267218
7,4.7180347
0,9.040318
11,6.237844
2,5.414015
2,3.7742515
10,5.1909556
0,3.5275009
