Actual,Predicted
0,4.7529187
3,4.459989
6,8.525625
9,20.368567
4,7.059395
10,5.385393
5,6.9951224
8,16.946333
17,16.594461
19,23.235353
0,4.9801016
1,-0.33942676
16,7.53946
6,7.6004076
0,3.3908713
2,15.3725195
11,4.8473344
8,8.774196
26,15.002603
29,28.77255
8,4.9094896
0,5.334678
0,2.0881305
3,5.295832
1,5.7235928
0,1.9420093
4,12.680563
1,4.2301927
0,3.1320503
10,14.1514015
0,1.6671184
1,5.44574
1,3.0575736
0,4.0371737
0,1.8081174
2,8.751323
0,2.3214417
5,11.554706
0,1.0249672
0,8.158058
2,-2.6488776
0,2.691721
0,5.502163
12,4.1232586
2,-2.932492
0,-0.27120697
1,5.536657
2,2.2990782
2,8.246211
12,1.4073709
1,0.24710986
7,6.38954
8,9.384819
21,12.614533
5,6.072209
10,3.2083025
0,-0.18489224
0,8.189222
1,5.8510194
3,-0.9342952
4,-1.768797
3,-1.1445715
2,4.845668
4,6.673542
2,8.26617
0,7.0555215
4,6.9040203
1,2.154739
1,6.1447277
0,6.072632
2,8.188679
0,5.09704
1,11.6372
2,12.350457
17,8.713023
20,3.0963368
1,5.275528
6,12.659902
4,5.056587
23,7.425314
11,17.078651
3,5.0456014
7,2.4993482
2,6.47914
1,4.274001
16,3.925936
4,3.6029215
15,12.414504
3,5.642775
10,10.250888
2,12.912464
2,2.5711234
1,7.3471646
3,4.6418185
1,3.8857954
1,4.9262104
10,6.7854557
2,12.408533
0,4.8276434
21,9.3057165
1,2.5905697
11,10.209321
27,7.659471
12,9.073255
3,3.9383464
3,3.8415704
0,2.2098105
3,10.635488
7,8.599034
7,2.4551616
4,4.81381
4,11.711355
2,-1.4219713
15,7.6402116
6,8.165443
10,11.33766
7,8.641315
14,2.0604517
15,6.0579276
31,15.423596
1,5.1117735
1,8.604986
1,4.7098722
10,9.093118
4,4.0215034
27,10.1270275
13,17.729946
3,5.7378955
5,4.587766
8,11.607966
0,0.8005583
3,6.5816503
4,2.1628385
5,5.5333967
16,6.8184123
16,4.3451705
3,3.9776366
2,7.4474034
6,3.923983
5,7.743395
2,5.78953
0,3.7815914
62,-1.897244
1,3.848497
5,6.3520007
5,17.000147
4,10.338717
1,8.7631855
5,3.168645
7,11.751415
0,13.921835
11,5.0872235
2,5.509051
2,1.1835577
10,5.5756
0,4.877393
11,6.2077026
1,5.47644
5,4.406559
1,-2.0821428
6,6.128395
4,9.504447
9,3.0889094
13,6.914228
1,2.851598
3,8.895369
16,5.781204
7,11.735477
19,5.202064
10,5.068748
7,10.263721
4,4.360111
4,-0.36920375
27,3.285388
10,1.5168017
12,23.174404
3,13.633504
5,11.077645
3,3.331681
3,5.207047
9,14.326033
15,1.0345727
0,9.436784
7,2.8660789
1,12.647195
5,6.416613
2,7.661097
17,3.9633696
11,4.7151747
5,9.093502
19,6.8027782
13,4.4071293
6,-0.34770477
9,14.779438
1,8.126479
19,-3.6301038
5,0.4205077
1,0.50214964
10,0.3837946
21,12.336092
0,3.8343916
18,4.9984045
3,8.882485
5,2.2097433
5,7.46306
0,-0.18118268
28,18.278734
31,12.707826
7,4.2305737
4,6.273952
28,15.252115
0,5.303088
9,8.879504
7,16.440397
8,11.974974
1,3.702575
4,5.3651567
0,1.8018991
5,6.7462134
5,18.47065
5,-0.92359036
1,1.9568393
0,3.2492983
5,5.220478
0,9.808115
10,4.645518
1,5.1960707
4,12.5870075
3,9.073521
7,11.012014
16,5.092212
5,6.7258787
17,20.66084
2,5.6592593
1,17.616676
6,5.579539
3,2.9499822
3,16.634151
41,11.898796
19,5.7317758
1,5.3613596
12,1.1446315
8,4.2272654
1,1.0063599
9,4.921364
2,-2.1404338
9,7.891179
8,9.775197
7,5.6866646
13,8.317437
5,5.6856294
2,0.9392447
29,5.0743403
13,5.422479
48,5.425975
0,4.7860465
7,2.865958
3,0.5859758
0,2.975526
6,9.452493
13,8.111489
3,3.5926428
0,3.3533103
0,4.279724
26,7.2051086
15,8.093923
1,0.37315017
3,2.3229754
7,7.6293783
9,3.8884437
33,15.685896
9,-2.1774492
2,3.1700187
17,19.21562
9,8.783382
6,5.81646
10,6.8937397
6,0.45579138
3,3.3105834
0,-4.7790737
18,4.0913525
5,5.314413
22,13.204977
0,2.3976996
2,12.4950285
8,8.808625
5,8.091532
2,17.416664
8,11.954815
2,3.1703105
1,18.695423
4,3.727146
1,1.1354681
50,10.529156
6,14.470115
34,6.585592
4,2.433298
5,5.847503
12,3.426781
21,2.9834378
3,8.11533
0,2.759761
2,5.2609234
8,10.123847
0,-2.3238232
1,8.979398
3,13.00145
0,7.00615
0,2.6586773
0,5.143259
1,5.2596173
7,4.659901
0,1.365116
9,5.46448
0,2.075518
2,8.238532
3,0.57201856
0,2.7254074
4,3.834493
1,1.3014551
0,6.1033206
0,7.163299
6,4.722674
0,5.1898894
0,0.011427179
0,2.2396882
7,4.814877
3,7.6478925
2,4.6467323
4,6.7345963
4,0.47674695
9,6.214413
4,3.5061188
3,10.354853
