Actual,Predicted
0,0.0
3,0.0
6,5.586097
9,2.8955753
4,3.1115596
10,5.529249
5,1.412442
8,5.4083586
17,0.0
19,0.0
0,7.153001
1,7.744466
16,8.960743
6,5.4236984
0,7.0819426
2,4.640705
11,5.5496445
8,0.48457697
26,4.773078
29,9.921379
8,9.211981
0,8.616952
0,6.9938145
3,8.70312
1,4.4340477
0,0.0
4,3.0560215
1,6.9280024
0,3.5830514
10,0.0
0,8.746498
1,6.891923
1,8.222894
0,3.3074415
0,5.0596685
2,10.716286
0,0.0
5,9.193527
0,0.0
0,0.0
2,2.704477
0,2.0858972
0,0.30257586
12,9.162487
2,8.068984
0,2.3494728
1,3.085819
2,4.404586
2,2.6329439
12,1.4326751
1,1.4700801
7,8.020765
8,11.835536
21,2.9505947
5,3.4511
10,11.164211
0,1.8469331
0,3.5824335
1,6.8828173
3,1.3096111
4,1.4203289
3,0.5757692
2,4.197502
4,11.544488
2,9.745945
0,12.34245
4,5.263036
1,4.2070427
1,1.6479881
0,12.357571
2,6.8279285
0,7.648512
1,0.0
2,0.14928414
17,12.583382
20,12.557597
1,9.02275
6,7.7427673
4,13.484042
23,3.0876787
11,9.296322
3,13.3522005
7,8.248454
2,9.015434
1,8.383569
16,7.502537
4,0.0
15,10.937755
3,6.7906284
10,0.40815905
2,6.030712
2,3.391957
1,2.4862974
3,3.742809
1,3.797156
1,2.163287
10,2.0960062
2,9.2070465
0,3.9883935
21,5.4367447
1,4.401642
11,10.087117
27,6.0679893
12,8.184249
3,0.0
3,8.080151
0,11.332587
3,7.4587774
7,0.6820066
7,0.0
4,3.4143035
4,3.0724895
2,5.23232
15,7.4623213
6,11.741922
10,10.874774
7,2.2405612
14,4.7462263
15,5.85116
31,7.4555244
1,1.9122283
1,12.95441
1,6.219208
10,1.6435297
4,3.114558
27,5.068078
13,12.296736
3,8.312607
5,6.0192223
8,2.381047
0,3.6651943
3,2.6563823
4,3.139198
5,0.0
16,2.7319944
16,4.4920607
3,6.0734243
2,0.7922399
6,3.9824083
5,4.571971
2,3.775337
0,3.404083
62,7.7828465
1,7.9774637
5,7.8364573
5,10.263927
4,5.284053
1,0.0
5,8.807586
7,0.23852517
0,6.144018
11,2.8618438
2,5.6726437
2,1.7136848
10,4.14371
0,10.947677
11,10.399276
1,5.6716814
5,4.0786476
1,3.6373203
6,6.400297
4,5.804384
9,0.75700927
13,11.97428
1,12.812709
3,9.433346
16,4.4306316
7,6.7695007
19,0.0
10,5.7406178
7,3.5370843
4,6.679552
4,7.474661
27,4.058708
10,10.165271
12,10.096564
3,8.444938
5,0.7270448
3,3.0896852
3,10.366595
9,8.769477
15,1.6663396
0,7.556761
7,4.416438
1,3.7370298
5,0.0
2,10.617128
17,6.522938
11,5.9753513
5,3.8100526
19,7.2017765
13,5.2037067
6,2.4833019
9,3.8624952
1,2.062105
19,14.007308
5,4.0064945
1,13.418842
10,7.6276817
21,2.3471982
0,2.8108966
18,3.1047647
3,2.969487
5,0.69663787
5,8.68892
0,6.8245373
28,8.671511
31,8.791771
7,1.7532604
4,5.290845
28,7.6168013
0,0.10147835
9,1.3946979
7,4.8490295
8,6.146678
1,9.54906
4,11.587604
0,0.0
5,1.0479314
5,5.8321486
5,7.088784
1,7.6057653
0,8.700535
5,3.161636
0,8.593108
10,0.0
1,5.4674263
4,1.7280881
3,9.765323
7,9.156511
16,5.615509
5,5.050783
17,5.1920996
2,6.900462
1,6.0644016
6,5.7751894
3,0.084132925
3,5.7677307
41,8.991944
19,5.846407
1,10.335597
12,0.0
8,0.0
1,0.0
9,7.3850336
2,0.0
9,8.774676
8,3.1741846
7,5.931485
13,12.107859
5,1.6731117
2,0.0
29,4.017481
13,4.355139
48,5.70222
0,6.8363724
7,11.793774
3,6.97637
0,0.0
6,6.5925303
13,3.93632
3,8.420688
0,8.881111
0,5.7030115
26,8.494569
15,13.477641
1,5.4357796
3,12.014372
7,6.324977
9,3.830423
33,6.4514227
9,0.20122696
2,6.8251886
17,7.425249
9,5.307272
6,2.517102
10,8.06718
6,4.441662
3,3.7398946
0,0.0
18,5.1302767
5,0.0
22,10.120613
0,4.6436853
2,0.0
8,4.9678097
5,2.3788745
2,0.0
8,12.395911
2,6.035535
1,10.775887
4,2.1914823
1,3.2225454
50,8.165387
6,7.7790756
34,4.692007
4,7.8066254
5,0.0
12,6.575123
21,7.907773
3,5.617915
0,0.0
2,2.2447526
8,0.0
0,0.0
1,10.034748
3,5.3541393
0,6.9509506
0,7.4587097
0,6.473975
1,4.5293655
7,0.0
0,3.5284317
9,2.836168
0,2.0283039
2,2.5326126
3,4.997342
0,5.588153
4,2.9033124
1,8.4746065
0,1.9928472
0,4.862417
6,2.1212595
0,6.2482653
0,8.410242
0,0.0
7,0.0
3,4.5485315
2,10.272915
4,1.8615053
4,8.381352
9,6.998375
4,4.7598143
3,5.9950447
5,2.7188585
11,5.6849403
8,3.7579763
1,2.163656
12,12.866894
0,7.72095
6,10.026933
1,7.5216484
