Actual,Predicted
0,3.477442
3,3.2031412
6,4.5148153
9,1.2226307
4,4.062966
10,5.5335264
5,3.2835906
8,4.1605554
17,4.7712965
19,3.7834163
0,4.4858212
1,14.583723
16,7.3873568
6,4.4350915
0,4.0019383
2,4.885815
11,5.3470745
8,5.4687233
26,7.4830685
29,15.124135
8,5.72291
0,7.6004543
0,5.286224
3,6.115145
1,3.2330477
0,0.9206039
4,3.394178
1,7.344799
0,2.6817904
10,2.9457657
0,2.911285
1,3.829006
1,4.355237
0,3.1428335
0,2.047505
2,8.411289
0,1.9542195
5,3.7041914
0,1.4312987
0,1.8592266
2,2.56459
0,2.7627587
0,2.234961
12,2.8392694
2,4.7653637
0,4.5510106
1,7.941691
2,4.2555356
2,10.429699
12,4.1432257
1,2.211702
7,4.630166
8,7.2818103
21,8.031805
5,4.2129607
10,6.115375
0,3.4536173
0,3.2737286
1,2.5778377
3,2.8491192
4,3.867442
3,1.7176218
2,2.6710572
4,7.329738
2,6.6697173
0,4.2995987
4,5.0241323
1,6.16116
1,5.4033437
0,6.940602
2,3.7817404
0,5.567558
1,3.1577523
2,10.357736
17,6.8400936
20,8.007336
1,6.211272
6,5.0475454
4,11.336244
23,3.277623
11,6.9313803
3,7.3956833
7,6.233788
2,4.8884754
1,4.4481254
16,4.4809613
4,1.0333476
15,6.026103
3,5.112352
10,6.64088
2,3.493591
2,5.8727994
1,6.9275093
3,3.5537703
1,5.4338603
1,4.1621804
10,3.017482
2,3.9634492
0,2.835355
21,9.806068
1,4.5129266
11,7.6434455
27,4.9289927
12,7.0718255
3,5.3579855
3,10.263484
0,3.9377165
3,9.76374
7,5.1246986
7,1.8550742
4,3.6223733
4,6.3225303
2,3.412069
15,4.356912
6,5.8343644
10,10.01685
7,3.259997
14,9.532186
15,5.8812623
31,5.051962
1,2.7732534
1,11.647645
1,2.3637846
10,3.2281458
4,2.7720091
27,5.055242
13,6.5090194
3,9.641667
5,4.5848083
8,2.1228144
0,4.7914467
3,6.8519053
4,6.1775756
5,2.1482353
16,2.93044
16,3.7130826
3,8.480286
2,5.304094
6,2.8389893
5,3.7377613
2,3.743782
0,8.012159
62,1.6721054
1,9.676456
5,9.093629
5,18.286633
4,5.412111
1,2.2505126
5,4.3731346
7,2.28278
0,5.8865657
11,5.9719777
2,10.659857
2,4.335007
10,4.078844
0,8.927681
11,9.681173
1,4.4187436
5,3.37085
1,3.533257
6,5.956948
4,7.4716983
9,3.8608367
13,6.009747
1,10.27832
3,4.957074
16,3.0317907
7,5.2665935
19,3.6465979
10,2.2062807
7,8.581701
4,3.7523813
4,4.0832744
27,4.989791
10,5.639571
12,4.9579453
3,6.9252634
5,6.3164926
3,6.082797
3,6.544336
9,6.1145883
15,3.8216128
0,3.0002716
7,2.281655
1,2.9537535
5,2.3308375
2,8.737351
17,8.571266
11,6.4778533
5,8.78026
19,3.7688081
13,6.178813
6,3.9109585
9,4.566108
1,5.946528
19,2.194647
5,3.1761138
1,7.342971
10,2.698182
21,4.5251184
0,2.0274065
18,3.3442075
3,3.0731435
5,4.890234
5,4.2625136
0,5.7536626
28,6.810643
31,6.9933667
7,4.1270776
4,3.7479937
28,3.4929814
0,7.2825947
9,2.1608636
7,5.68214
8,7.880456
1,5.4256663
4,5.635987
0,2.5444236
5,3.5887108
5,5.250835
5,3.1245735
1,4.011128
0,4.8495364
5,5.0771823
0,7.3317347
10,3.0978017
1,3.1664388
4,3.319835
3,6.5758038
7,4.7874656
16,6.251131
5,0.5308468
17,8.284292
2,7.8115034
1,5.5402765
6,6.067594
3,1.7444378
3,6.382659
41,2.2556016
19,2.9706864
1,2.0512843
12,2.7256036
8,1.4336946
1,2.0518014
9,5.644923
2,2.042621
9,8.044409
8,4.0955415
7,3.069765
13,6.313017
5,3.2649362
2,5.4152184
29,5.0864134
13,0.9086579
48,5.898716
0,3.2816541
7,5.7957335
3,6.000414
0,3.990742
6,7.777492
13,5.454606
3,5.724435
0,7.8052974
0,3.8232358
26,2.0576246
15,10.48039
1,4.117931
3,4.7198253
7,5.7068925
9,6.3742313
33,5.0667124
9,2.48367
2,8.834277
17,4.4054403
9,4.889898
6,1.7858137
10,5.3734045
6,4.218878
3,2.7263966
0,1.9379907
18,10.562914
5,2.9903114
22,5.1088653
0,4.576255
2,1.4626004
8,5.3276353
5,2.6792274
2,9.920895
8,7.6536016
2,5.378742
1,2.3518376
4,3.2923627
1,5.0374713
50,7.5002174
6,6.0072746
34,4.6241617
4,4.7464194
5,7.1547213
12,4.3317475
21,7.428753
3,5.554832
0,3.297612
2,3.9677567
8,2.9776845
0,1.5439717
1,6.1650677
3,6.0674624
0,2.974493
0,3.7810705
0,4.2204313
1,4.5950284
7,3.2498312
0,4.0965056
9,16.49996
0,3.4408312
2,5.3144054
3,4.8067036
0,5.2267294
4,3.6723113
1,4.2951045
0,2.1339195
0,3.563458
6,4.0409102
0,3.4876404
0,4.736898
0,2.835633
7,3.110913
3,2.8799322
2,3.94005
4,1.962773
4,7.5635786
9,13.762391
4,4.789847
3,8.912246
5,2.7211432
11,7.718012
8,4.532995
1,3.8815563
12,7.0736666
0,5.4291253
6,6.5298405
1,5.4562883
12,4.5656447
10,5.1448555
15,4.6539154
0,9.991434
14,7.994275
6,1.9973766
7,5.129645
3,7.090249
20,6.251813
5,9.834644
5,1.2698108
24,7.1854086
7,9.416844
4,5.2942457
2,6.771906
6,18.790762
11,4.683857
2,5.8752165
7,3.4159074
11,5.507099
3,18.713501
18,5.245538
13,3.1171324
1,5.4911222
2,9.671434
3,7.5720572
16,3.9799364
2,6.0295753
6,9.683888
15,24.963812
14,7.883885
11,3.86762
4,3.4065979
1,7.4289756
0,3.385218
6,2.7249591
5,4.256713
4,3.2319863
3,3.7162995
2,3.810601
0,2.5770934
6,7.5781775
3,6.6299214
5,3.6265528
1,5.1230373
2,4.488226
7,4.472344
1,4.6221232
7,5.775604
0,2.5764058
0,3.4043965
19,2.2261124
9,7.379845
1,9.016313
7,3.7605438
1,2.416967
16,3.5736604
5,5.9616294
9,3.803811
2,3.537568
7,9.601307
55,2.2010913
17,4.8150043
14,5.260919
4,5.3944397
8,7.3495655
39,6.13156
10,3.516969
4,1.5744015
12,3.7486882
7,4.039793
6,2.9944363
15,6.182579
13,8.5855255
11,7.4985547
13,4.495098
8,4.6311555
9,7.704317
5,4.458795
21,11.339381
5,5.997562
5,3.464466
12,8.290364
17,2.500776
4,4.6955104
19,3.1645005
3,8.987247
12,5.641632
1,7.812176
5,4.786338
1,4.2901793
4,9.665743
9,3.6402128
18,8.335779
3,5.810751
9,7.0644126
0,4.62075
15,5.3490143
10,5.255823
17,2.839474
10,2.8278315
2,3.1997545
0,3.9464972
1,3.864782
1,4.7844586
1,1.9654623
2,3.565557
4,8.312053
9,6.1124606
6,3.8216918
1,4.8534536
2,2.2411351
9,2.7670214
3,1.8502841
1,4.4118056
5,3.7291846
2,3.370275
9,4.230907
1,0.76049525
1,1.3687297
0,3.156686
0,4.690905
2,7.8682
4,3.3646407
9,4.8502355
4,4.5671067
26,3.8054955
14,3.375205
0,6.2458606
0,6.101303
7,2.9079418
16,3.0335822
2,4.9879184
2,3.5104725
1,2.5092406
1,13.018821
18,3.0050163
5,7.636346
7,2.833906
33,5.3309283
0,0.06157269
0,3.2217498
1,6.5767565
0,2.6236084
0,5.0716453
3,5.1743813
6,4.2382946
1,4.3444076
0,1.63853
4,4.250389
0,4.284696
5,7.3817916
8,5.696769
0,2.3748937
0,3.3887649
1,4.713781
1,6.3075414
1,2.2566898
6,4.6059065
0,7.7957773
1,4.191557
14,4.145351
6,5.692225
2,6.5315757
1,6.1738296
0,4.6594663
0,7.4201107
6,9.675454
3,10.674461
10,7.69388
