Actual,Predicted
0,5.1766667
3,5.0633335
6,8.396667
9,25.536667
4,8.283334
10,5.28
5,8.706667
8,7.58
17,13.67
19,16.823334
0,2.24
1,6.58
16,4.116667
6,3.5733333
0,12.483334
2,5.5333333
11,9.21
8,7.653333
26,15.053333
29,16.023333
8,9.673333
0,4.096667
0,6.5233335
3,4.8433332
1,2.6633334
0,4.1233335
4,4.9733334
1,8.42
0,4.91
10,18.116667
0,1.21
1,2.77
1,2.2733333
0,3.4166667
0,1.4566667
2,10.613334
0,5.1766667
5,20.47
0,3.0966666
0,4.0133333
2,2.3233333
0,2.4
0,5.2933335
12,14.53
2,4.3566666
0,1.35
1,5.0133333
2,2.55
2,9.38
12,3.9833333
1,2.0833333
7,5.3733335
8,6.2966666
21,19.923334
5,3.9466667
10,4.1433334
0,3.93
0,4.766667
1,17.64
3,2.5966666
4,7.113333
3,4.673333
2,3.0333333
4,3.3933334
2,4.03
0,4.0
4,7.9766665
1,13.043333
1,6.7966666
0,5.49
2,3.3566666
0,1.4833333
1,16.376667
2,6.29
17,13.01
20,2.8033333
1,4.443333
6,6.4166665
4,4.4366665
23,4.2266665
11,16.786667
3,5.27
7,6.1433334
2,2.36
1,4.04
16,9.653334
4,5.3766665
15,5.2266665
3,4.86
10,8.376667
2,12.596666
2,6.536667
1,2.76
3,3.1866667
1,3.23
1,4.5733333
10,3.4333334
2,4.923333
0,3.3633332
21,11.24
1,2.08
11,8.426666
27,6.7733335
12,13.363334
3,14.643333
3,6.096667
0,2.1933334
3,5.9566665
7,5.2466664
7,4.153333
4,6.69
4,6.8033333
2,5.1566668
15,8.076667
6,7.0133333
10,10.693334
7,6.8566666
14,4.0733333
15,7.0866666
31,21.386667
1,10.506667
1,9.876667
1,6.3033333
10,4.96
4,4.83
27,4.15
13,20.473333
3,4.2166667
5,1.9866667
8,5.23
0,3.6166666
3,11.103333
4,5.136667
5,6.07
16,4.75
16,1.7566667
3,6.1466665
2,3.5066667
6,3.7866666
5,3.4
2,3.48
0,3.1533334
62,6.866667
1,4.62
5,4.0866666
5,7.7066665
4,5.4466667
1,5.7533336
5,4.653333
7,4.366667
0,14.753333
11,4.5733333
2,3.9266667
2,4.4166665
10,7.2366667
0,5.2633333
11,5.9666667
1,5.37
5,5.0866666
1,3.9466667
6,4.93
4,9.413333
9,4.4166665
13,6.7933335
1,3.8766668
3,4.8933334
16,13.676666
7,6.6066666
19,8.95
10,7.9533334
7,4.113333
4,5.8333335
4,10.316667
27,4.81
10,3.59
12,9.35
3,4.16
5,7.0333333
3,4.7766666
3,3.0766666
9,4.2166667
15,4.42
0,3.1833334
7,2.8233333
1,4.786667
5,3.6766667
2,4.84
17,4.9066668
11,2.54
5,7.9466667
19,5.806667
13,3.83
6,4.33
9,7.0633335
1,4.0033336
19,6.28
5,4.6966667
1,4.0
10,7.056667
21,8.486667
0,2.0066667
18,3.6966667
3,4.98
5,4.1666665
5,9.79
0,5.2966666
28,9.956667
31,7.28
7,4.88
4,4.0433335
28,19.51
0,2.5333333
9,4.61
7,7.5433335
8,6.136667
1,10.756667
4,4.8933334
0,2.9266667
5,4.22
5,6.536667
5,4.1666665
1,3.6833334
0,4.92
5,4.1766667
0,4.116667
10,4.98
1,1.73
4,6.33
3,4.19
7,5.983333
16,3.33
5,6.4666667
17,10.3133335
2,6.99
1,5.31
6,4.6566668
3,2.2766666
3,10.356667
41,8.21
19,4.1833334
1,3.2566667
12,5.0633335
8,7.65
1,4.596667
9,2.7633333
2,9.943334
9,5.04
8,7.0833335
7,3.9233334
13,21.576666
5,4.96
2,3.88
29,2.98
13,3.2166667
48,2.6533334
0,6.016667
7,3.86
3,3.8166666
0,3.87
6,4.0633335
13,3.9066668
3,2.29
0,4.1
0,1.51
26,17.413334
15,5.8766665
1,3.2566667
3,5.4566665
7,3.2666667
9,4.403333
33,7.636667
9,2.8366666
2,4.7733335
17,16.91
9,4.3366666
6,8.916667
10,3.9133334
6,3.4433334
3,3.2466667
0,3.6266668
18,7.6666665
5,7.0866666
22,7.1866665
0,3.0733333
2,4.0533333
8,8.326667
5,13.64
2,7.26
8,4.1033335
2,3.0166667
1,11.226666
4,6.21
1,2.8633332
50,8.323334
6,14.41
34,4.82
4,2.5366666
5,6.15
12,3.2666667
21,5.1866665
3,4.4166665
0,4.41
2,3.2333333
8,7.5
0,3.6266668
1,5.0533333
3,12.776667
0,3.6466668
0,3.49
0,9.826667
1,2.4366667
7,12.7
0,4.7166667
9,4.923333
0,2.6233332
2,3.6466668
3,3.4566667
0,4.6033335
4,10.006667
1,1.9933333
0,1.1833333
0,6.4266667
6,3.9766667
0,3.5066667
0,1.8833333
0,10.293333
7,10.126667
3,6.67
2,3.0333333
4,3.9333334
