Actual,Predicted
0,6.7774715
3,5.595853
6,7.056326
9,23.432436
4,10.106537
10,4.504747
5,10.088152
8,15.810445
17,11.508036
19,13.080769
0,3.8161964
1,4.273313
16,11.340988
6,8.241167
0,7.0489736
2,7.138935
11,9.579382
8,6.110462
26,8.037152
29,26.44897
8,4.0107756
0,5.1011066
0,7.275163
3,8.514456
1,2.7261195
0,4.1069126
4,9.647864
1,5.110663
0,3.7774348
10,14.609003
0,3.17446
1,7.514024
1,3.66557
0,2.5010304
0,2.2004418
2,10.207345
0,3.362839
5,13.02876
0,4.6902575
0,4.2418947
2,0.060752362
0,3.7305207
0,1.8808523
12,8.0785475
2,2.1603432
0,1.5689428
1,4.708003
2,4.963541
2,7.968236
12,2.6564603
1,4.114225
7,6.156677
8,8.362805
21,17.95974
5,4.7498255
10,5.090582
0,3.0344715
0,5.42636
1,13.965479
3,2.4291074
4,4.7882686
3,1.8483236
2,5.0750194
4,4.9613314
2,7.3069487
0,5.0907364
4,10.267875
1,4.45383
1,6.6448603
0,6.17881
2,5.6313167
0,4.8200593
1,6.169385
2,6.8712463
17,11.292467
20,4.9680443
1,5.730441
6,10.500416
4,5.870591
23,5.8594446
11,13.794498
3,4.079364
7,5.444071
2,4.9605494
1,2.9842484
16,9.123745
4,2.6150308
15,13.06306
3,5.878876
10,6.1404285
2,10.372362
2,4.866851
1,3.0668652
3,2.8346062
1,5.120703
1,4.254588
10,5.590146
2,7.9746943
0,5.935627
21,8.244965
1,2.2869866
11,8.084769
27,10.710633
12,8.55625
3,2.7489808
3,8.211249
0,3.8846693
3,7.1760864
7,5.029747
7,3.0034838
4,8.100868
4,13.780962
2,3.577501
15,6.535555
6,9.670212
10,9.423014
7,10.571227
14,3.9076867
15,7.6010747
31,18.097061
1,0.24166715
1,8.862488
1,7.3673058
10,7.5773854
4,5.157385
27,10.460349
13,20.5528
3,5.911645
5,5.1212068
8,10.597296
0,1.2901305
3,11.770765
4,5.952101
5,6.357349
16,4.8655543
16,3.578333
3,9.016909
2,6.960218
6,5.6673703
5,5.4404716
2,6.9291945
0,5.945734
62,6.3823633
1,6.7716885
5,7.1467037
5,12.628552
4,6.1406274
1,6.8258076
5,4.490885
7,5.809354
0,8.742302
11,4.3497167
2,5.5508137
2,3.1697617
10,4.112912
0,6.163728
11,8.437992
1,3.8692772
5,-2.5137398
1,0.07930064
6,10.506106
4,10.467314
9,4.1758585
13,7.566125
1,4.8032136
3,9.706013
16,10.256052
7,14.477209
19,9.672853
10,6.2022142
7,8.097952
4,5.9872103
4,5.3373575
27,5.3346653
10,7.5023246
12,14.792324
3,7.460884
5,7.350886
3,2.4438791
3,15.879557
9,11.738638
15,1.439384
0,6.8056636
7,0.02147317
1,12.170168
5,4.8466754
2,6.195504
17,5.6147184
11,4.8178506
5,10.074693
19,6.611832
13,7.169471
6,0.7231029
9,9.291078
1,6.880592
19,1.8241394
5,1.3422604
1,5.689195
10,4.1121335
21,8.144313
0,2.4353433
18,4.7901864
3,9.12
5,3.8943462
5,9.407413
0,3.5842352
28,16.359213
31,11.107174
7,3.5019975
4,7.7208586
28,21.485544
0,6.1718526
9,3.9604764
7,10.131766
8,9.618065
1,8.526467
4,6.8810487
0,3.5726392
5,8.245022
5,9.974474
5,3.4152422
1,3.6697803
0,4.4685774
5,6.110511
0,7.1475506
10,5.328855
1,2.0239239
4,11.790095
3,7.0545197
7,7.851755
16,4.491496
5,4.0702014
17,16.822048
2,6.465458
1,13.37821
6,9.446633
3,3.3078039
3,12.141956
41,6.778167
19,5.6512403
1,4.1584086
12,8.734859
8,6.2043867
1,6.9438686
9,4.766282
2,3.3422043
9,15.150394
8,5.657008
7,5.553297
13,15.765745
5,5.8229957
2,3.704187
29,5.516712
13,5.1661186
48,5.135705
0,7.262675
7,3.1419582
3,3.5325098
0,3.9009092
6,6.845241
13,5.5813847
3,5.1682315
0,3.6700068
0,1.1538775
26,11.937297
15,9.694128
1,4.056202
3,4.8759165
7,5.924997
9,2.7269416
33,10.029312
9,1.874357
2,7.033614
17,15.888311
9,7.0388613
6,5.802701
10,6.7358017
6,3.6914601
3,6.517102
0,0.061904423
18,11.08978
5,4.9403152
22,12.612296
0,2.8693912
2,5.88899
8,10.554348
5,9.855435
2,9.830518
8,13.271681
2,4.8531885
1,17.183113
4,7.127919
1,4.3123584
50,10.091359
6,17.002548
34,6.0700846
4,5.1951766
5,7.330173
12,4.477191
21,7.6632156
3,5.1369514
0,3.6079683
2,5.164048
8,13.123723
0,2.6233597
1,10.511824
3,7.45179
0,5.123237
0,3.963376
0,8.110533
1,5.467033
7,7.771916
0,2.098783
9,7.4383717
0,4.9609346
2,7.806654
3,2.7805612
0,5.1955748
4,5.837413
1,3.139833
0,2.2339346
0,7.6025605
6,6.261853
0,8.076625
0,2.8164668
0,6.759274
7,6.6604147
3,8.911836
2,5.497362
4,5.523432
4,5.8080926
9,8.77182
4,6.3310757
3,9.6465435
5,0.7917018
11,8.791239
8,6.8721514
1,6.585547
12,8.273451
0,6.1918006
6,4.803898
1,1.7925694
12,11.7867155
10,6.0155554
15,6.101103
0,8.066275
14,10.292409
6,8.973951
7,12.60096
3,4.946109
20,10.52324
5,10.054928
5,6.1798954
24,8.863647
7,8.544704
4,8.740125
2,7.9159327
6,7.136783
11,6.02637
2,9.52868
7,3.69538
11,7.583131
3,15.197895
18,8.020545
13,10.245513
1,4.2600455
2,3.3504007
3,10.816698
16,7.8711176
2,4.595067
6,9.096902
15,10.855978
14,14.606264
11,7.3319173
4,7.2374907
1,8.058258
0,4.627028
6,5.612393
5,4.117637
4,6.421754
3,3.885521
2,4.843486
0,5.8783875
6,5.8393
3,5.7149224
5,3.6229053
1,5.0685067
2,3.4818268
7,13.905172
1,3.6551104
7,3.132565
0,1.5410768
0,-0.43312073
19,5.009315
9,9.136829
1,5.9352913
7,4.9330816
1,2.8543503
16,6.7757263
5,7.4652953
9,9.860537
2,3.7775457
7,4.187165
55,8.550435
17,10.349667
14,5.626698
4,6.6079526
8,5.1900797
39,27.402355
10,6.737896
4,3.4254243
12,10.211923
7,5.8764086
6,11.207039
15,25.905548
13,2.364936
11,8.988698
13,5.372442
8,7.0016394
9,6.8612823
5,5.684735
21,14.893173
5,3.5294504
5,7.153138
12,15.3964405
17,7.23267
4,5.7470207
19,4.9602675
3,7.39155
12,11.162458
1,6.993153
5,3.3443766
1,5.7612286
4,11.509928
9,3.3358517
18,12.455409
3,4.7385077
9,5.556854
0,7.3867044
15,7.0215025
10,10.998283
17,5.8657346
10,5.3985515
2,9.879145
0,5.1218786
1,10.651218
1,6.7492924
1,4.862503
2,8.89118
4,8.50264
9,8.293901
6,16.08045
1,7.974767
2,6.515637
9,3.307257
3,0.68864405
1,6.223149
5,9.117941
2,5.5841293
9,7.075864
1,2.9531298
1,2.9156537
0,4.452126
0,1.5355539
2,5.732608
4,4.1630697
9,14.257864
4,4.95553
26,9.571091
14,13.198551
0,5.1032753
0,3.901606
7,5.8316364
16,20.719343
2,6.269435
2,15.224774
1,7.726968
1,5.7763805
18,7.37788
5,12.474015
7,6.8184423
33,4.2073607
0,3.094076
0,2.4906907
1,8.260391
0,9.723249
0,6.95705
3,3.7189736
6,2.4403124
1,9.23467
0,2.934794
4,2.5814128
0,6.4656105
5,4.5717564
8,4.52721
0,4.8094034
0,8.22165
1,2.204146
1,7.5882006
1,3.943429
6,3.4373264
0,1.7442482
1,6.8036833
14,4.747652
6,16.376053
2,4.5129776
1,3.1870008
0,2.7148643
0,2.2213693
6,6.861949
3,5.732661
10,10.759518
1,5.4798656
5,9.102706
4,3.9359586
5,7.3627663
3,5.0381875
2,6.1736965
3,3.0507965
35,6.6131954
0,0.058670476
12,3.1527448
7,4.890761
1,0.0014683604
3,2.105968
31,3.0232909
0,-0.1626662
34,5.035324
3,4.0103464
20,4.3534923
1,1.7228851
8,8.924495
0,1.0729928
3,5.128605
9,6.0556917
10,3.7708325
2,5.585096
1,6.822476
2,7.2094545
3,3.7234945
0,2.901795
2,4.846718
2,10.296761
3,6.4722996
9,7.691494
4,6.4014606
8,10.066282
14,9.062052
8,6.070842
7,10.177473
9,7.346082
3,5.045555
0,4.9171
5,13.947111
0,10.310413
1,2.1189923
3,7.146759
0,2.299635
0,5.4884124
10,5.193019
1,9.419693
11,10.827206
6,15.810351
3,7.587431
1,7.0642395
3,1.931737
5,3.6401882
5,10.434535
3,13.070651
5,5.6899395
18,4.9129696
5,5.0905824
1,5.8934865
1,8.948401
4,4.580922
14,12.700607
1,3.8320441
0,3.3943021
2,5.487111
41,7.667761
12,6.251523
20,6.4153614
1,6.280545
8,6.746225
2,5.411443
2,4.97613
7,3.6821523
3,5.115092
1,2.773707
5,7.226153
11,7.2888384
0,2.430904
8,5.8516927
0,4.1675463
6,9.496025
4,4.8611917
7,6.194732
4,6.1624336
1,1.5876205
10,5.856309
4,3.9933164
8,7.417155
4,8.613075
1,8.294228
10,12.73748
9,8.772903
13,8.054266
3,10.736038
0,11.237006
14,6.0118313
24,10.971663
3,5.5853467
34,22.563383
8,6.9200573
3,2.481383
4,6.912834
13,13.557325
12,12.801592
3,4.206438
20,14.221983
1,3.7706947
5,4.0513306
9,4.724231
3,10.824443
5,6.204092
4,7.0575447
14,9.891348
5,6.120818
11,7.9853063
7,7.4767747
5,6.1744003
0,3.3741689
0,5.280366
5,6.3572893
12,6.9513144
23,20.890512
0,4.2321935
11,10.652986
6,5.33831
2,20.231266
0,5.0215526
48,4.8698797
13,7.038677
3,9.608793
2,6.238806
0,3.1699524
10,5.094485
7,7.2753706
18,4.657296
4,7.1583076
16,13.475584
4,10.587734
3,7.533738
8,2.4145756
3,5.5330014
10,9.042388
7,7.4977202
27,20.739899
13,3.4159293
2,7.1034107
25,3.9503362
4,5.5751414
5,7.6380825
2,1.7908483
6,5.8175564
6,4.029575
0,4.588764
8,4.55326
2,4.4502153
3,9.132549
12,5.869649
8,12.572857
1,4.4990377
11,7.0948153
18,3.0686746
1,2.2704108
12,14.398504
9,6.2691154
22,4.800233
0,1.5665386
0,4.576367
