Actual,Predicted
0,5.4265122
3,3.491182
6,8.161067
9,25.990274
4,7.9756126
10,4.9037848
5,4.5795407
8,11.392455
17,15.448819
19,12.263599
0,5.128471
1,5.511277
16,7.4421606
6,7.4797044
0,2.987435
2,9.337319
11,8.414113
8,4.8327756
26,4.663003
29,22.468273
8,5.8111124
0,1.5635811
0,4.8934274
3,9.504907
1,4.466053
0,-0.17577836
4,8.139736
1,5.51139
0,4.6995273
10,20.21411
0,4.2736115
1,4.856576
1,3.6563833
0,4.3971195
0,2.8074925
2,7.002051
0,2.4500906
5,15.95943
0,5.400938
0,3.6102445
2,-0.30872962
0,5.0339284
0,1.6844659
12,3.9762535
2,2.9731114
0,3.440179
1,2.691695
2,14.917241
2,13.874748
12,1.1624246
1,11.325115
7,5.1931267
8,9.590422
21,16.887442
5,5.285309
10,2.4231389
0,2.9314938
0,4.526653
1,15.914782
3,1.7126296
4,2.3150368
3,2.8560076
2,4.2684965
4,3.4506793
2,5.8970737
0,5.451753
4,13.136765
1,3.7847924
1,5.4392295
0,6.2549715
2,7.9291253
0,7.217729
1,10.197726
2,9.311988
17,12.443858
20,6.1106462
1,6.561403
6,10.277275
4,7.7116795
23,7.4734597
11,18.319832
3,5.122674
7,4.8518076
2,12.168628
1,4.4998407
16,10.9589405
4,3.3017542
15,8.172661
3,6.786739
10,5.484827
2,12.705948
2,4.2466874
1,4.347261
3,5.1815076
1,3.4224074
1,5.683277
10,6.0585833
2,7.229042
0,4.6651964
21,8.661448
1,2.4442294
11,14.982468
27,11.50567
12,8.850123
3,5.3371015
3,4.6999335
0,3.6378953
3,6.757115
7,6.8256884
7,4.6183877
4,4.7530036
4,32.66854
2,2.6040227
15,6.0723467
6,8.996375
10,7.4125404
7,10.721354
14,5.5398602
15,7.4365144
31,17.777897
1,2.550508
1,8.432716
1,7.837616
10,11.966238
4,7.3535423
27,5.958354
13,36.22574
3,5.4294505
5,4.520564
8,10.290234
0,2.1362703
3,11.333488
4,8.191811
5,4.04196
16,3.64779
16,5.861683
3,5.342398
2,7.178896
6,17.06005
5,3.2742896
2,7.37905
0,9.505891
62,5.018788
1,5.5516715
5,6.3778243
5,9.015347
4,9.552016
1,5.78075
5,2.3381288
7,11.989016
0,9.071655
11,0.28722978
2,5.7201686
2,3.146748
10,5.784991
0,7.5155716
11,7.647959
1,10.193859
5,-2.0156152
1,3.7152321
6,10.324684
4,8.803309
9,5.4981785
13,5.5705953
1,4.0606084
3,7.9584427
16,11.175182
7,10.292276
19,12.229101
10,4.4052567
7,8.3995695
4,6.125857
4,3.777938
27,6.799761
10,14.267421
12,24.670603
3,7.0133195
5,9.980536
3,2.2345142
3,29.676155
9,8.85612
15,2.678126
0,7.446474
7,-4.0155034
1,14.657467
5,6.7776923
2,11.406797
17,6.6419706
11,5.6149817
5,11.2557745
19,6.7231245
13,1.5738076
6,3.3823483
9,11.300737
1,3.668491
19,0.3968881
5,0.3114283
1,4.0917478
10,0.8730559
21,11.769833
0,3.173942
18,2.5785499
3,5.426
5,4.8553047
5,7.4407263
0,3.9333959
28,17.367603
31,15.48108
7,4.3825006
4,7.206255
28,22.647047
0,5.4929852
9,1.995072
7,11.652699
8,14.479531
1,10.761162
4,3.3745441
0,4.7229524
5,8.82108
5,8.139348
5,4.7436395
1,3.0532866
0,6.2889295
5,8.188273
0,5.9424047
10,5.5688505
1,1.2906028
